trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.15, 'e': 0.5900932985167294}",20,0,-94.32254695573954,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
43,False,"{'a': 0.15, 'e': 0.5841923655315622}",30,9,-82.03028657990181,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
44,False,"{'a': 0.15, 'e': 0.5783504418762465}",20,12,-36.862179039766794,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.15, 'e': 0.572566937457484}",30,19,-20.994860683453922,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.15, 'e': 0.5668412680829091}",25,4,-13.390887207073169,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.15, 'e': 0.5611728554020801}",25,0,-87.16604312680438,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.15, 'e': 0.5555611268480593}",30,0,-97.66468601902454,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.15, 'e': 0.5500055155795787}",25,0,-47.58496124154293,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.15, 'e': 0.5445054604237829}",20,0,-124.72523418732197,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
51,False,"{'a': 0.15, 'e': 0.5390604058195451}",25,0,-30.926422300058743,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
52,False,"{'a': 0.15, 'e': 0.5336698017613496}",25,9,8.120392738365384,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.15, 'e': 0.5283331037437361}",20,0,-35.574839301331906,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.15, 'e': 0.5230497727062987}",25,0,-31.58690236143757,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.15, 'e': 0.5178192749792357}",25,0,-50.89266129788796,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.15, 'e': 0.5126410822294434}",20,7,-41.98366926377186,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
57,False,"{'a': 0.15, 'e': 0.5075146714071489}",30,0,-34.15132191462177,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.15, 'e': 0.5024395246930774}",20,0,22.521379691161947,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.15, 'e': 0.49741512944614663}",20,6,-104.90109139485918,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
60,False,"{'a': 0.15, 'e': 0.49244097815168514}",25,15,9.9203080105648,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.15, 'e': 0.48751656837016827}",30,0,-34.80245114357956,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.15, 'e': 0.4826414026864666}",25,17,14.882804579852035,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.15, 'e': 0.4778149886596019}",20,0,-20.076619462684242,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.15, 'e': 0.4730368387730059}",25,0,-23.583351867881746,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.15, 'e': 0.46830647038527584}",20,0,-50.51666933582892,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.15, 'e': 0.4636234056814231}",20,15,-12.187309460254047,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.15, 'e': 0.45898717162460884}",25,0,-59.61002524429495,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.15, 'e': 0.45439729990836275}",20,10,2.2378145082170766,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.15, 'e': 0.4498533269092791}",25,0,-19.607120100061195,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.15, 'e': 0.4453547936401863}",30,15,12.74639788407795,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.15, 'e': 0.4409012457037845}",25,0,-49.052708372803515,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.15, 'e': 0.43649223324674663}",25,19,5.580177749572456,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.15, 'e': 0.43212731091427914}",20,0,-51.36815274072162,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.15, 'e': 0.4278060378051363}",35,27,0.7463807787832786,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.15, 'e': 0.423527977427085}",25,0,-67.81621998821629,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.15, 'e': 0.41929269765281413}",30,2,-51.983304473603795,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.15, 'e': 0.415099770676286}",25,10,8.4735856993247,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.15, 'e': 0.41094877296952315}",20,4,-7.690777601101342,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.15, 'e': 0.40683928523982793}",20,13,8.59959965112984,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.15, 'e': 0.40277089238742964}",20,8,-2.0723291147832836,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.15, 'e': 0.39874318346355536}",30,17,-52.561013950357406,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.15, 'e': 0.3947557516289198}",25,0,-49.606079258848446,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
83,False,"{'a': 0.15, 'e': 0.39080819411263057}",25,9,-64.18543092175601,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 1}",1
84,False,"{'a': 0.15, 'e': 0.3869001121715043}",20,11,-3.8277599888634044,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.15, 'e': 0.3830311110497892}",20,9,9.11579719843118,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.15, 'e': 0.3792007999392913}",20,5,-14.524439754820117,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.15, 'e': 0.37540879193989835}",25,0,14.799216117370593,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.15, 'e': 0.3716547040204994}",25,8,-76.38883207598508,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
89,False,"{'a': 0.15, 'e': 0.36793815698029436}",25,0,-124.06716575807421,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",1
90,False,"{'a': 0.15, 'e': 0.3642587754104914}",20,3,-22.097643611939837,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.15, 'e': 0.3606161876563865}",30,2,-81.94877288065022,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 3}",1
92,False,"{'a': 0.15, 'e': 0.3570100257798226}",25,0,-52.52721360532334,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.15, 'e': 0.35343992552202436}",35,13,-7.021432012283668,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.15, 'e': 0.3499055262668041}",25,15,3.1655557737956412,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.15, 'e': 0.3464064710041361}",25,1,-73.99985638582875,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 1}",1
96,False,"{'a': 0.15, 'e': 0.3429424062940947}",25,19,12.257398196831744,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.15, 'e': 0.3395129822311538}",30,2,-32.98682256826473,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.15, 'e': 0.33611785240884223}",25,8,13.61974870683608,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.15, 'e': 0.33275667388475383}",30,6,-58.40849699896891,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
100,False,"{'a': 0.15, 'e': 0.3294291071459063}",20,10,15.007973893515356,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.15, 'e': 0.3261348160744472}",20,10,-36.69631488464933,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.15, 'e': 0.32287346791370275}",20,11,-4.501679293368103,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.15, 'e': 0.3196447332345657}",20,0,-6.982719729306211,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
